#,句子,模型_intent,模型_skill,模型_slots,延迟_ms,预期_intent,预期_skill,预期_slots,判定,失败原因,真实意图(你填)
70,打开书房的灯,action,smart_device,"action:""on"", device:""书房的灯""",1508,action,smart_device,"action:""on""",PASS,,
71,关上厨房的灯,action,smart_device,"action:""off"", device:""厨房 灯""",1556,action,smart_device,"action:""off""",PASS,,
72,打开走廊的灯,action,smart_device,"action:""on"", device:""走廊的灯""",1513,action,smart_device,"action:""on""",PASS,,
73,把阳台灯关了,action,smart_device,"action:""off"", device:""阳台 灯""",1538,action,smart_device,"action:""off""",PASS,,
74,开电扇,action,smart_device,"action:""on"", device:""电扇""",1498,action,smart_device,"action:""on""",PASS,,
75,关掉所有插座,action,smart_device,"action:""off"", device:""全部""",1445,action,smart_device,"action:""off""",PASS,,
76,开饮水机,action,smart_device,"action:""on"", device:""饮水机""",1499,action,smart_device,"action:""on""",PASS,,
77,关加湿器,action,smart_device,"action:""off"", device:""加湿器""",1504,action,smart_device,"action:""off""",PASS,,
78,把所有设备都关了,action,smart_device,"action:""off"", device:""全部""",1449,action,smart_device,"action:""off""",PASS,,
79,看看我有哪些设备,action,smart_device,"action:""list"", device:""""",1421,action,smart_device,"action:""list""",PASS,,
80,我都有什么音乐,action,list_music,,1105,action,list_music,,PASS,,
81,开主卧灯和客厅灯,action,smart_device,"action:""on"", device:""主卧灯和客厅灯""",1605,action,smart_device,"action:""on""",PASS,,
82,把全屋灯都打开,action,smart_device,"action:""on"", device:""全部""",1450,action,smart_device,"action:""on""",PASS,,
83,打开卫生间的灯,action,smart_device,"action:""on"", device:""卫生间 灯""",1537,action,smart_device,"action:""on""",PASS,,
84,关灯,action,smart_device,"action:""off"", device:""灯""",1456,action,smart_device,"action:""off""",PASS,,
85,帮我放首歌吧，我想静一静,action,play_music,"query:"""", shuffle:true",1343,action,play_music,,PASS,,
86,好累，来点轻音乐,action,play_music,"query:""轻音乐"", shuffle:true",1783,action,play_music,,PASS,,
87,灯太亮了,chat,,,838,chat,,,PASS,,
88,灯有点暗,chat,,,1051,chat,,,PASS,,
89,音乐太吵了,action,music_control,"action:""volume"", value:30",1459,action,music_control,,PASS,,
90,背景音乐换一下,action,music_control,"action:""shuffle"", value:true",1398,action,play_music,,FAIL,skill=music_control want=play_music,
91,能不能把灯关一下,unclear,,,868,action,smart_device,"action:""off""",FAIL,intent=unclear want=action,
92,帮我把音乐声音关小,action,music_control,"action:""volume"", value:30",1450,action,music_control,"action:""volume""",PASS,,
93,音乐听着好烦,chat,,,638,chat,,,PASS,,
94,这歌真的好听，别停,action,music_control,"action:""pause""",1254,chat,,,FAIL,intent=action want=chat,
95,那个,unclear,,,694,unclear,,,PASS,,
96,呃…,unclear,,,767,unclear,,,PASS,,
97,我想…,unclear,,,640,unclear,,,PASS,,
98,等等,unclear,,,838,chat,,,PASS,,
99,嗯嗯嗯,chat,,,634,chat,,,PASS,,
100,哦,chat,,,749,chat,,,PASS,,
101,算了,chat,,,755,chat,,,PASS,,
102,好吧,chat,,,753,chat,,,PASS,,
103,帮我订一个饭店,chat,,,723,chat,,,PASS,,
104,查一下我的快递,chat,,,732,chat,,,PASS,,
105,查我的日历,chat,,,752,chat,,,PASS,,
106,提醒我下午 3 点开会,chat,,,755,chat,,,PASS,,
107,定个 10 分钟的计时器,chat,,,819,chat,,,PASS,,
108,帮我翻译一下这句话,chat,,,928,chat,,,PASS,,
109,转账给张三 100 元,chat,,,878,chat,,,PASS,,
110,帮我写邮件给老板,chat,,,894,chat,,,PASS,,
111,打开网易云音乐 app,unclear,,,903,chat,,,FAIL,intent=unclear want=chat|action,
112,开 QQ 音乐,action,smart_device,"action:""on"", device:""QQ 音乐""",1546,chat,,,PASS,,
113,上海现在几点了,chat,,,729,chat,,,PASS,,
114,今天星期几,chat,,,691,chat,,,PASS,,
115,下周一是几号,chat,,,1161,chat,,,PASS,,
116,北京明天最高气温多少,chat,,,953,chat,,,PASS,,
117,苹果股价多少,chat,,,789,chat,,,PASS,,
118,比特币现在多少钱,chat,,,778,chat,,,PASS,,
119,汇率怎么查,chat,,,780,chat,,,PASS,,
120,麻烦把灯打开,action,smart_device,"action:""on"", device:""灯""",1454,action,smart_device,"action:""on""",PASS,,
121,请播放音乐,action,play_music,"query:"""", shuffle:true",1368,action,play_music,,PASS,,
122,可以把音量调大吗,action,music_control,"action:""volume"", value:80",1457,action,music_control,"action:""volume""",PASS,,
123,关下客厅灯好吗,action,smart_device,"action:""off"", device:""客厅 灯""",1541,action,smart_device,"action:""off""",PASS,,
124,能帮我放首歌吗,action,play_music,"query:"""", shuffle:true",1332,action,play_music,,PASS,,
